cloud_height,cloud_amount,temperature,temperature_dew,pressure,pressure_tendency,pressure_tendency_value,temp_prev,dew_prev,w_x,w_y,w_x_prev,w_y_prev,day_sin,day_cos,year_sin,year_cos,code
9,3,19.7,9.2,992.3,4,0.0,21.6,8.4,-1.5320888862379558,1.285575219373079,-1.5320888862379558,1.285575219373079,-0.7071067811927948,0.7071067811803003,0.6564703334991713,-0.7543518418055907,0
6,6,8.8,6.7,987.4,4,0.0,11.9,9.3,3.7587704831436337,1.3680805733026749,2.4492935982947064e-16,4.0,1.0,7.70904297592121e-12,0.7172617667827481,-0.6968038159422569,0
6,8,13.2,8.8,987.2,2,0.5,15.1,7.4,0.0,0.0,0.0,0.0,-1.1733689294537616e-11,1.0,0.988545399848896,-0.15092379679025564,0
5,6,17.1,9.0,987.5,2,1.1,12.2,9.9,-1.3680805733026775,-3.758770483143633,-0.6840402866513388,-1.8793852415718164,0.7071067811866028,-0.7071067811864923,0.4536542141000538,-0.8911777903590633,0
9,0,18.6,14.1,999.7,2,0.8,20.2,14.0,2.0,-4.898587196589413e-16,2.0,-4.898587196589413e-16,0.707106781182169,0.7071067811909261,-0.8073440647983238,-0.5900809783706978,0
5,8,4.0,3.3,991.9,7,0.1,4.8,3.8,-3.0641777724759116,2.571150438746158,-5.63815572471545,2.0521208599540133,0.7071067811795175,0.7071067811935775,-0.2471116361310733,0.9689870170898184,0
9,0,18.7,5.5,999.2,3,0.3,23.7,4.6,0.0,0.0,0.0,0.0,-1.0,-2.8999267265788546e-12,0.9190063596068175,-0.39424270570579345,0
10,9,8.2,7.8,990.7,8,0.2,8.8,8.0,0.0,0.0,0.0,0.0,0.7071067811811932,0.7071067811919018,-0.8916504299249371,0.45272454187361527,0
5,6,10.8,0.9,1000.4,8,0.4,9.0,2.1,4.0,-9.797174393178826e-16,2.0,-4.898587196589413e-16,5.262298817179524e-12,-1.0,0.9974180786354461,0.0718134834914378,0
5,8,1.0,0.2,995.2,7,0.7,1.2,-0.5,1.3680805733026753,3.7587704831436333,2.5711504387461575,3.064177772475912,1.185028928739045e-11,-1.0,0.7731498353899435,0.6342234086160043,0
5,8,-3.1,-5.1,997.4,3,0.1,-3.9,-4.7,-1.285575219373079,-1.5320888862379558,0.0,0.0,0.7071067811920982,-0.7071067811809968,-0.5875521124658852,0.8091863290595533,0
9,0,25.5,12.8,992.6,2,1.0,27.2,13.3,1.2246467991473532e-16,2.0,1.2246467991473532e-16,2.0,-0.707106781194494,0.707106781178601,-0.884765137671763,-0.46603717787389687,0
5,2,-7.0,-11.7,996.0,8,0.2,-8.4,-12.1,3.7587704831436337,1.3680805733026749,2.0,-4.898587196589413e-16,-3.7098386961961543e-13,-1.0,0.8294654049477016,0.5585580918713338,0
3,8,4.2,4.0,979.5,7,0.5,4.0,3.5,0.0,0.0,1.2246467991473532e-16,2.0,5.347489512223026e-13,1.0,0.9682897573075554,0.2498298338735296,3
9,0,17.7,12.5,992.6,8,0.3,19.1,12.9,0.0,0.0,-3.6739403974420594e-16,-2.0,-1.5607015125570806e-12,1.0,-0.012708209482426833,-0.9999192474453878,0
9,3,21.2,11.1,992.5,3,1.5,24.4,11.5,0.6840402866513363,-1.879385241571817,1.3680805733026726,-3.758770483143634,-1.0,-8.539184278993208e-12,0.7437747177978316,-0.6684303772007643,0
9,4,24.2,7.6,994.7,4,0.0,15.2,11.1,-0.6840402866513374,1.8793852415718169,0.0,0.0,1.0,6.7211114568617385e-12,0.5767998526057592,-0.816885506074122,0
9,0,10.1,7.1,990.2,2,0.8,13.1,9.4,0.0,0.0,0.6840402866513363,-1.879385241571817,-0.7071067811921822,0.7071067811809129,-0.9992152246839452,0.039609781112913175,0
6,6,18.4,10.2,982.6,7,0.1,15.2,11.9,-1.8793852415718169,-0.6840402866513373,-1.8793852415718169,-0.6840402866513373,0.7071067811924309,-0.7071067811806642,0.8247398654122243,-0.5655122937654194,0
5,6,17.3,15.9,987.7,8,1.2,19.3,16.1,0.0,0.0,-1.8793852415718166,0.6840402866513378,-7.472357651940002e-12,1.0,0.5484665294408874,-0.8361725097628289,0
9,0,23.2,7.0,998.8,8,0.2,16.1,11.4,1.3680805733026726,-3.758770483143634,2.0,-4.898587196589413e-16,0.7071067811899514,-0.7071067811831437,-0.9780683963173701,-0.2082839699188778,0
9,0,15.5,1.9,1008.7,2,1.1,10.3,2.9,1.3680805733026753,3.7587704831436333,0.6840402866513376,1.8793852415718166,0.7071067811920706,-0.7071067811810244,-0.9827806956693743,0.18477582152332755,0
10,9,7.6,7.4,999.1,2,1.0,7.4,6.5,0.0,0.0,0.0,0.0,-4.318544954062299e-12,1.0,-0.7593341364280884,0.6507009061427601,0
4,8,16.0,15.0,983.0,2,1.0,15.1,14.6,-7.347880794884119e-16,-4.0,-0.6840402866513388,-1.8793852415718164,1.0,1.003769342540626e-11,0.5978914006312227,-0.801577116097531,8
9,7,23.6,15.3,988.3,7,0.9,23.3,14.3,1.2246467991473532e-16,2.0,1.2246467991473532e-16,2.0,0.7071067811782397,0.7071067811948554,0.11780138730784862,-0.993037176115953,0
9,0,19.1,14.1,995.1,2,0.2,18.3,13.5,0.0,0.0,0.0,0.0,0.7071067811822245,0.7071067811908707,0.5431693043390902,-0.839623193357466,0
6,2,29.8,7.0,990.9,8,0.4,26.8,7.0,1.2855752193730787,1.532088886237956,1.2855752193730787,1.532088886237956,0.7071067811917643,-0.7071067811813307,0.21986812565852457,-0.9755296035074524,0
5,4,31.8,16.2,984.4,7,1.0,32.2,15.3,2.0,-4.898587196589413e-16,2.0,-4.898587196589413e-16,-0.7071067811804386,-0.7071067811926565,-0.19424532005720227,-0.9809529833972039,0
5,7,7.4,0.6,992.7,2,1.5,6.4,1.7,6.0,-1.4695761589768238e-15,4.5962666587138665,-3.8567256581192373,0.7071067811883353,-0.7071067811847598,-0.9666909882672362,0.25594634828985985,0
9,2,23.2,15.8,979.4,3,1.5,26.8,15.3,-1.8793852415718169,-0.6840402866513373,-5.638155724715451,-2.052120859954012,-1.0,-2.9803155509763944e-12,-0.27986385127937924,-0.9600396995682384,0
6,6,4.6,2.4,997.0,3,0.3,5.0,3.3,2.052120859954013,5.63815572471545,3.6739403974420594e-16,6.0,-3.652168732592987e-12,1.0,-0.9182331402109047,0.3960402760053844,0
9,0,17.3,10.6,985.9,3,1.1,13.7,10.9,-7.347880794884119e-16,-4.0,-3.6739403974420594e-16,-2.0,1.0,8.81855354251286e-12,-0.9154256520246055,-0.4024871123592978,0
5,7,7.2,4.6,983.3,7,1.2,7.2,4.3,-1.3680805733026749,3.7587704831436337,-1.5320888862379558,1.285575219373079,7.828132496113716e-12,-1.0,-0.14783014668956013,0.9890127641894937,0
5,8,3.0,-0.2,992.6,2,0.8,5.1,-4.6,8.0,-1.959434878635765e-15,9.396926207859085,3.420201433256687,0.7071067811940498,-0.7071067811790452,0.9999951054498138,-0.0031287499765500623,0
6,6,6.8,1.6,1001.1,8,0.3,5.6,0.7,0.0,0.0,2.5711504387461575,3.064177772475912,-0.707106781189144,0.707106781183951,-0.9999694512269047,-0.007816432240026216,0
9,0,-0.7,-5.2,999.3,8,0.7,-4.0,-5.5,1.2855752193730787,1.532088886237956,1.2855752193730787,1.532088886237956,0.7071067811939666,-0.7071067811791284,-0.6417987180726213,0.7668731351927384,0
9,5,29.2,9.0,990.0,8,0.6,25.0,9.8,2.5711504387461575,3.064177772475912,-0.6840402866513374,1.8793852415718169,0.7071067811890034,-0.7071067811840918,-0.8504923646653738,-0.5259873930484464,0
5,6,-2.9,-3.9,996.5,8,0.2,-2.7,-4.0,0.6840402866513363,-1.879385241571817,0.6840402866513363,-1.879385241571817,-0.7071067811903664,0.7071067811827286,0.1797754526612539,0.9837076733564912,0
5,6,12.3,4.6,987.6,8,0.5,9.2,3.8,-4.596266658713867,3.856725658119237,-4.596266658713867,3.856725658119237,9.878409493014983e-12,-1.0,0.9021086665280998,0.4315089266456646,0
6,3,24.4,16.9,982.1,8,0.6,27.6,16.4,0.0,0.0,0.0,0.0,-0.7071067811864912,0.7071067811866039,0.3189656271873254,-0.9477662837815007,0
9,0,-11.5,-12.8,993.5,4,0.0,-8.3,-10.6,0.0,0.0,0.0,0.0,0.7071067811829757,0.7071067811901194,0.8953965896434012,0.4452695220368969,0
